Qty;Value;Device;Package;;;;;;
1;;ESP32_C6_LIBRARY_7_JUMPER_SJ;ESP32_C6_LIBRARY_7_JUMPER_SJ;;;;;;
3;0;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
4;0.1uF;GRM011R60J152KE01L_2_GRM011R60J152KE01L;GRM011R60J152KE01L_2_CAPC0201X13N;;;;;;
1;0.1uF/50V;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;0.47;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
1;1.0µF;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
5;100nF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;100pF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
6;10K;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
3;10uF;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
1;10µH;NORDIC_NRF_2_INDUCTOR_0402_L;NORDIC_NRF_2_RESC0402_L;;;;;;
4;12pF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;15nH;NORDIC_NRF_2_INDUCTOR_0402_L;NORDIC_NRF_2_RESC0402_L;;;;;;
2;1pF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
6;1uF;GRM011R60J152KE01L_2_GRM011R60J152KE01L;GRM011R60J152KE01L_2_CAPC0201X13N;;;;;;
9;1uF/50V;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
1;02.feb;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
3;2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN;2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN;2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN;;;;;;
1;20V/4.2A/52m?/1.4W;ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_MOSFET_PCH-DMG2305UX-7;ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3;;;;;;
2;22uF;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
1;2450AT18B100E;2450AT18B100E_2450AT18B100E;2450AT18B100E_ANTC3216X140N;;;;;;
1;3.9nH;NORDIC_NRF_2_INDUCTOR_0402_L;NORDIC_NRF_2_RESC0402_L;;;;;;
1;32.768kHz;NORDIC_NRF_1_XTAL_32KHZ;NORDIC_NRF_1_XTAL_3215_N;;;;;;
1;32MHz;NORDIC_NRF_XTAL_32MHZ;NORDIC_NRF_BT-XTAL_2016_N;;;;;;
2;3K3;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
1;4.7uF;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
1;4.7uF/25V;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
4;4.7µF;PERFECT_0402_CAP_0402;PERFECT_0402_0402;;;;;;
1;47nF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;503480-2400_503480-2400;503480-2400_503480-2400;503480-2400_5034802400;;;;;;
2;5K1;CPF0201D7K68C1_CPF0201D7K68C1;CPF0201D7K68C1_0201;;;;;;
1;68uH;ESP32_C6_LIBRARY_2_744043680IND_4828-WE-TPC_WRE;ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE;;;;;;
1;820pF;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;BMA421;BMA423_BMA423;BMA423_BMA423;;;;;;
1;BQ25180YBGR;BQ25180YBGR_BQ25180YBGR;BQ25180YBGR_BGA8C40P2X4_100X155X50;;;;;;
1;DRV2605YZFR;DRV2605YZFR_DRV2605YZFR;DRV2605YZFR_BGA9C50P3X3_144X144X62;;;;;;
1;FTC252012SR47MBCA;MLP2016SR47MT0S1_FTC252012SR47MBCA;MLP2016SR47MT0S1_INDC2016X100N;;;;;;
14;HECTOR_WATCH_1_TPTP20R;HECTOR_WATCH_1_TPTP20R;HECTOR_WATCH_1_TP20R;;;;;;
1;KH-TYPE-C-16P;KH-TYPE-C-16P_KH-TYPE-C-16P;KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P;;;;;;https://www.snapeda.com/parts/KH-TYPE-C-16P/Kinghelm/view-part/?ref=snap
1;MAX17048G+T10;ESP32_C6_LIBRARY_MAX17048G+T10;ESP32_C6_LIBRARY_SON50P200X200X80-9N;;;;;;
3;MBR0530;ESP32_C6_LIBRARY_5_MBR0530;ESP32_C6_LIBRARY_5_SOD3716X135N;;;;;;
3;N.C;NORDIC_NRF_3_CAPACITOR_0201_L;NORDIC_NRF_3_RESC0201_L;;;;;;
1;NRF52840_QF;NORDIC_NRF_4_NRF52840_QF;NORDIC_NRF_4_AQFN50P700X700X85_HS-74N;;;;;;
1;RT6160AWSC;RT6160AWSC_RT6160AWSC;RT6160AWSC_BGA15C40P3X5_140X230X60;;;;;;
1;SI1308EDL-T1-GE3;ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3;ESP32_C6_LIBRARY_6_SOT65P210X110-3N;;;;;;
1;TC2030-IDC;TC2030-IDC_TC2030-IDC;TC2030-IDC_TC2030IDC;;;;;;
1;USBLC6-2SC6Y;ESP32_C6_LIBRARY_3_USBLC6-2SC6Y;ESP32_C6_LIBRARY_3_SOT95P280X145-6N;;;;;;
